gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,128,4096,2048,ck,7,0,7.6378,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,281.17,1269.91,0.0
gfx942,80,128,4608,4096,ck,17,0,14.28,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,338.36,1441.06,0.0
gfx942,80,128,5120,4096,ck,17,0,14.6196,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,367.23,1560.0,0.0
gfx942,80,256,4096,2048,ck,11,0,9.726,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,441.6,1132.02,0.0
gfx942,80,256,4608,4096,ck,10,0,20.4557,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,472.42,1089.29,0.0198
gfx942,80,256,5120,4096,ck,17,0,20.7969,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,516.3,1184.87,0.0
gfx942,80,512,4096,2048,ck,17,0,13.313,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,645.23,1023.92,0.0
gfx942,80,512,4608,4096,ck,2,0,27.5561,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,701.38,932.28,0.0
gfx942,80,512,5120,4096,ck,14,0,27.981,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,767.48,1011.81,0.0
gfx942,80,1024,4096,2048,ck,14,0,18.6898,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,919.21,1009.88,0.0002
gfx942,80,1024,4608,4096,ck,14,0,40.7002,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,949.74,798.67,0.0001
gfx942,80,1024,5120,4096,ck,1,0,42.2835,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1015.75,843.16,0.0
gfx942,80,2048,4096,2048,ck,13,0,29.6053,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1160.59,991.72,0.0
gfx942,80,4096,4096,2048,ck,13,0,54.8859,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1252.04,917.02,0.0
gfx942,80,4096,4608,4096,ck,13,0,107.8779,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1433.28,680.4,0.0
gfx942,80,8192,4096,2048,ck,13,0,100.0583,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1373.59,922.21,0.0
gfx942,80,8192,5120,4096,ck,13,0,204.8152,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1677.6,675.79,0.0
gfx942,80,16384,4096,2048,ck,13,0,187.6366,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1464.95,938.84,0.0
gfx942,80,32768,4096,2048,ck,13,1,345.9207,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1589.25,994.25,0.0
gfx942,80,32768,5120,4096,ck,13,0,739.9087,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1857.51,663.24,0.0
