gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,256,256,2048,7168,flydsl,206,1,9.893,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,759.75,1775.36,0.0
gfx1250,256,512,2048,7168,flydsl,402,1,37.5272,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,400.57,544.86,0.0
gfx1250,256,1024,2048,7168,flydsl,402,1,38.3773,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,783.4,683.07,0.0
gfx1250,256,2048,2048,7168,flydsl,402,1,39.501,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,1522.23,955.64,0.0
gfx1250,256,4096,2048,7168,flydsl,402,1,43.8736,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,2741.04,1386.2,0.0
gfx1250,256,8192,2048,7168,flydsl,402,1,58.9603,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4079.32,1814.01,0.0
gfx1250,256,16384,2048,7168,flydsl,402,1,97.2704,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4945.35,2048.2,0.0
gfx1250,256,32768,2048,7168,flydsl,402,1,200.2066,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4805.4,1916.91,0.0
gfx1250,256,16,7168,4096,flydsl,33,1,5.0839,flydsl_blockscale_bpreshuffle_wmma_t16x64x1024_mw1_nw4_nb3_sk1_cm1_cn1,184.8,5833.13,0.0
gfx1250,256,32,7168,4096,flydsl,87,1,5.3092,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb3_sk1_cm1_cn1,353.92,5641.14,0.0
gfx1250,256,64,7168,4096,flydsl,206,1,6.846,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,548.95,4460.97,0.0
gfx1250,256,128,7168,4096,flydsl,220,1,8.0218,flydsl_blockscale_bpreshuffle_wmma_t64x64x512_mw2_nw2_nb3_sk1_cm1_cn1,936.97,3954.15,0.0
gfx1250,256,256,7168,4096,flydsl,247,1,11.9636,flydsl_blockscale_bpreshuffle_wmma_t128x128x256_mw2_nw2_nb4_sk1_cm1_cn1,1256.51,2848.53,0.0
gfx1250,256,512,7168,4096,flydsl,401,1,28.4676,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1056.1,1362.86,0.0
gfx1250,256,1024,7168,4096,flydsl,401,1,27.6584,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,2174.01,1743.94,0.0
gfx1250,256,2048,7168,4096,flydsl,401,1,36.3629,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3307.19,1845.53,0.0
gfx1250,256,4096,7168,4096,flydsl,401,1,63.3606,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3796.02,1654.93,0.0
gfx1250,256,8192,7168,4096,flydsl,401,1,107.8549,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4460.03,1672.2,0.0
gfx1250,256,16384,7168,4096,flydsl,401,1,190.5084,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,5050.03,1739.29,0.0
gfx1250,256,32768,7168,4096,flydsl,401,1,383.4793,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,5017.6,1651.56,0.0
gfx1250,256,16,1536,7168,flydsl,17,1,5.4804,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb4_sk1_cm1_cn1,64.29,2038.88,0.0
gfx1250,256,32,1536,7168,flydsl,160,1,5.6434,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb4_sk1_cm1_cn1,124.86,2009.02,0.0
gfx1250,256,64,1536,7168,flydsl,160,1,5.8597,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb4_sk1_cm1_cn1,240.5,1990.79,0.0
gfx1250,256,128,1536,7168,flydsl,160,1,6.9519,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb4_sk1_cm1_cn1,405.44,1772.29,0.0
gfx1250,256,256,1536,7168,flydsl,206,1,8.8451,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,637.32,1541.13,0.0
gfx1250,256,512,1536,7168,flydsl,397,1,24.4989,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,460.2,663.41,0.0
gfx1250,256,1024,1536,7168,flydsl,397,1,24.3326,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,926.68,883.42,0.0
gfx1250,256,2048,1536,7168,flydsl,397,1,25.2428,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,1786.54,1266.96,0.0
gfx1250,256,4096,1536,7168,flydsl,397,1,31.3573,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,2876.34,1688.7,0.0
gfx1250,256,8192,1536,7168,flydsl,397,1,59.7275,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,3020.19,1588.82,0.0
gfx1250,256,16384,1536,7168,flydsl,397,1,85.7277,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,4208.41,2085.47,0.0
gfx1250,256,32768,1536,7168,flydsl,397,1,182.0166,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw2_nw2_nb3_sk1_cm1_cn1,3964.22,1903.97,0.0
gfx1250,256,16,8192,1536,flydsl,7,1,4.2533,flydsl_blockscale_bpreshuffle_wmma_t16x32x512_mw1_nw2_nb3_sk1_cm1_cn1,94.67,3025.8,0.0
gfx1250,256,32,8192,1536,flydsl,84,1,4.7064,flydsl_blockscale_bpreshuffle_wmma_t32x32x512_mw2_nw2_nb3_sk1_cm1_cn1,171.11,2795.42,0.0
gfx1250,256,64,8192,1536,flydsl,106,1,5.0964,flydsl_blockscale_bpreshuffle_wmma_t32x64x256_mw2_nw2_nb4_sk1_cm1_cn1,316.03,2694.02,0.0
gfx1250,256,128,8192,1536,flydsl,161,1,5.9456,flydsl_blockscale_bpreshuffle_wmma_t64x64x256_mw2_nw2_nb4_sk1_cm1_cn1,541.78,2502.13,0.0
gfx1250,256,256,8192,1536,flydsl,248,1,6.7334,flydsl_blockscale_bpreshuffle_wmma_t128x128x512_mw2_nw2_nb2_sk1_cm1_cn1,956.79,2550.04,0.0
gfx1250,256,512,8192,1536,flydsl,702,1,15.1148,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,852.47,1439.51,0.0
gfx1250,256,1024,8192,1536,flydsl,702,1,14.7586,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1746.09,2095.93,0.0
gfx1250,256,2048,8192,1536,flydsl,702,1,16.5398,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3116.1,2979.67,0.0
gfx1250,256,4096,8192,1536,flydsl,702,1,29.2636,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3522.44,2938.23,0.0
gfx1250,256,8192,8192,1536,flydsl,702,1,54.5029,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3782.52,2924.31,0.0
gfx1250,256,16384,8192,1536,flydsl,702,1,103.6649,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3977.4,2953.6,0.0
gfx1250,256,32768,8192,1536,flydsl,702,1,204.1905,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,4038.55,2937.38,0.0
gfx1250,256,16,16384,1536,flydsl,45,1,4.8973,flydsl_blockscale_bpreshuffle_wmma_t16x128x256_mw1_nw4_nb4_sk1_cm1_cn1,164.44,5250.79,0.0
gfx1250,256,32,16384,1536,flydsl,60,1,5.5571,flydsl_blockscale_bpreshuffle_wmma_t32x128x256_mw2_nw2_nb4_sk1_cm1_cn1,289.83,4726.13,0.0
gfx1250,256,64,16384,1536,flydsl,115,1,6.0058,flydsl_blockscale_bpreshuffle_wmma_t64x128x256_mw1_nw4_nb4_sk1_cm1_cn1,536.35,4555.81,0.0
gfx1250,256,128,16384,1536,flydsl,159,1,7.0387,flydsl_blockscale_bpreshuffle_wmma_t128x128x512_mw2_nw2_nb2_sk1_cm1_cn1,915.29,4199.18,0.0
gfx1250,256,256,16384,1536,flydsl,193,1,8.7781,flydsl_blockscale_bpreshuffle_wmma_t256x128x256_mw4_nw1_nb3_sk1_cm1_cn1,1467.85,3867.31,0.0
gfx1250,256,512,16384,1536,flydsl,702,1,17.1129,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1505.87,2496.92,0.0
gfx1250,256,1024,16384,1536,flydsl,702,1,17.062,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3020.72,3533.77,0.0
gfx1250,256,2048,16384,1536,flydsl,702,1,30.2122,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3411.84,3158.34,0.0
gfx1250,256,4096,16384,1536,flydsl,702,1,54.9791,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3749.76,3013.42,0.0
gfx1250,256,8192,16384,1536,flydsl,702,1,105.495,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3908.4,2902.36,0.0
gfx1250,256,16384,16384,1536,flydsl,702,1,205.4995,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,4012.83,2857.44,0.0
gfx1250,256,32768,16384,1536,flydsl,702,1,405.7711,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,4064.53,2832.24,0.0
gfx1250,256,16,7168,16384,flydsl,22,1,12.0038,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb4_sk1_cm1_cn1,313.08,9824.56,0.0
gfx1250,256,32,7168,16384,flydsl,88,1,13.3233,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb4_sk1_cm1_cn1,564.14,8888.45,0.0
gfx1250,256,64,7168,16384,flydsl,412,1,17.4919,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,859.39,6826.39,0.0
gfx1250,256,128,7168,16384,flydsl,222,1,23.6547,flydsl_blockscale_bpreshuffle_wmma_t64x64x1024_mw2_nw2_nb2_sk1_cm1_cn1,1270.99,5131.02,0.0
gfx1250,256,256,7168,16384,flydsl,448,1,28.1502,flydsl_blockscale_bpreshuffle_wmma_t128x64x512_mw2_nw2_nb3_sk1_cm1_cn1,2136.03,4451.29,0.0
gfx1250,256,512,7168,16384,flydsl,402,1,85.75,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,1402.44,1552.99,0.0
gfx1250,256,1024,7168,16384,flydsl,402,1,90.4044,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,2660.47,1647.02,0.0
gfx1250,256,2048,7168,16384,flydsl,402,1,109.5613,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4390.57,1646.16,0.0
gfx1250,256,4096,7168,16384,flydsl,402,1,211.2845,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4553.45,1151.38,0.0
gfx1250,256,8192,7168,16384,flydsl,402,1,408.3897,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4711.54,903.79,0.0
gfx1250,256,16384,7168,16384,flydsl,402,1,769.762,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4999.33,806.43,0.0
gfx1250,256,32768,7168,16384,flydsl,402,1,1582.614,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4863.21,710.26,0.0
gfx1250,256,16,6144,7168,flydsl,17,1,6.5218,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb4_sk1_cm1_cn1,216.09,6800.5,0.0
gfx1250,256,32,6144,7168,flydsl,124,1,8.7229,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb4_sk1_cm1_cn1,323.12,5120.18,0.0
gfx1250,256,64,6144,7168,flydsl,160,1,11.1308,flydsl_blockscale_bpreshuffle_wmma_t32x64x512_mw2_nw2_nb4_sk1_cm1_cn1,506.45,4068.47,0.0
gfx1250,256,128,6144,7168,flydsl,310,1,11.7148,flydsl_blockscale_bpreshuffle_wmma_t64x64x512_mw2_nw2_nb3_sk1_cm1_cn1,962.4,3971.95,0.0
gfx1250,256,256,6144,7168,flydsl,448,1,14.097,flydsl_blockscale_bpreshuffle_wmma_t128x64x512_mw2_nw2_nb3_sk1_cm1_cn1,1599.53,3477.4,0.0
gfx1250,256,512,6144,7168,flydsl,547,1,39.6946,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,1136.1,1360.43,0.0
gfx1250,256,1024,6144,7168,flydsl,547,1,54.5059,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,1654.76,1173.51,0.0
gfx1250,256,2048,6144,7168,flydsl,547,1,56.6869,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,3182.19,1479.81,0.0
gfx1250,256,4096,6144,7168,flydsl,547,1,98.1883,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,3674.34,1260.15,0.0
gfx1250,256,8192,6144,7168,flydsl,547,1,158.0575,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4565.14,1287.02,0.0
gfx1250,256,16384,6144,7168,flydsl,547,1,292.7459,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4929.56,1239.32,0.0
gfx1250,256,32768,6144,7168,flydsl,547,1,628.9287,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4589.1,1083.71,0.0
gfx1250,256,16,7168,3072,flydsl,16,1,4.3833,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb3_sk1_cm1_cn1,160.76,5087.18,0.0
gfx1250,256,32,7168,3072,flydsl,118,1,5.0085,flydsl_blockscale_bpreshuffle_wmma_t32x32x512_mw2_nw2_nb4_sk1_cm1_cn1,281.38,4507.77,0.0
gfx1250,256,64,7168,3072,flydsl,284,1,5.6681,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,497.27,4081.47,0.0
gfx1250,256,128,7168,3072,flydsl,311,1,7.2144,flydsl_blockscale_bpreshuffle_wmma_t64x64x512_mw2_nw2_nb4_sk1_cm1_cn1,781.37,3361.1,0.0
gfx1250,256,256,7168,3072,flydsl,345,1,9.1935,flydsl_blockscale_bpreshuffle_wmma_t64x128x512_mw1_nw4_nb3_sk1_cm1_cn1,1226.33,2879.92,0.0
gfx1250,256,512,7168,3072,flydsl,547,1,22.7483,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,991.22,1359.79,0.0
gfx1250,256,1024,7168,3072,flydsl,246,1,49.8023,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,905.52,800.08,0.0
gfx1250,256,2048,7168,3072,flydsl,246,1,50.7433,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,1777.46,1136.54,0.0
gfx1250,256,4096,7168,3072,flydsl,246,1,53.5002,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,3371.74,1744.35,0.0
gfx1250,256,8192,7168,3072,flydsl,246,1,99.7492,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,3616.84,1650.4,0.0
gfx1250,256,16384,7168,3072,flydsl,246,1,163.713,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4407.44,1876.65,0.0
gfx1250,256,32768,7168,3072,flydsl,246,1,325.1092,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb4_sk1_cm1_cn1,4438.84,1822.3,0.0
gfx1250,256,16,65536,1536,flydsl,70,1,8.7234,flydsl_blockscale_bpreshuffle_wmma_t16x128x512_mw1_nw2_nb2_sk1_cm1_cn1,369.26,11782.68,0.0
gfx1250,256,32,65536,1536,flydsl,225,1,8.9173,flydsl_blockscale_bpreshuffle_wmma_t32x256x256_mw1_nw4_nb3_sk1_cm1_cn1,722.47,11764.41,0.0
gfx1250,256,64,65536,1536,flydsl,365,1,10.34,flydsl_blockscale_bpreshuffle_wmma_t64x256x256_mw2_nw2_nb3_sk1_cm1_cn1,1246.12,10556.11,0.0
gfx1250,256,128,65536,1536,flydsl,477,1,12.1536,flydsl_blockscale_bpreshuffle_wmma_t128x256x256_mw2_nw2_nb3_sk1_cm1_cn1,2120.34,9679.2,0.0
gfx1250,256,256,65536,1536,flydsl,548,1,16.416,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3139.6,8199.98,0.0
gfx1250,256,512,65536,1536,flydsl,548,1,56.2436,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1832.73,2996.94,0.0
gfx1250,256,1024,65536,1536,flydsl,247,1,81.5535,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,2527.89,2899.37,0.0
gfx1250,256,2048,65536,1536,flydsl,247,1,122.3529,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3369.9,3042.38,0.0
gfx1250,256,4096,65536,1536,flydsl,247,1,216.6744,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3805.87,2971.4,0.0
gfx1250,256,8192,65536,1536,flydsl,247,1,422.5521,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3903.11,2809.09,0.0
gfx1250,256,16384,65536,1536,flydsl,247,1,841.9694,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3917.64,2699.99,0.0
gfx1250,256,32768,65536,1536,flydsl,247,1,1654.5578,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3987.21,2687.1,0.0
